timestamp;leftHandX;leftHandY;leftHandZ;rightHandX;rightHandY;rightHandZ
31.01.2025 18:36:45;-0,4359156;1,307065;2,683235;-0,2696213;1,372256;2,365233
31.01.2025 18:36:46;-0,4333468;1,317661;2,681998;-0,2653643;1,377431;2,3642
31.01.2025 18:36:47;-0,4224154;1,316526;2,680436;-0,2339896;1,324974;2,326041
31.01.2025 18:36:48;-0,4273234;1,318412;2,671942;-0,2314196;1,321429;2,323698
31.01.2025 18:36:49;-0,4294097;1,340073;2,690811;-0,2350468;1,325934;2,324093
31.01.2025 18:36:50;-0,4165591;1,315092;2,681185;-0,237392;1,323087;2,326088
31.01.2025 18:36:51;-0,42404;1,327781;2,680718;-0,2348927;1,326255;2,32863
31.01.2025 18:36:52;-0,695;1,791;2,536;-0,2280706;1,333472;2,32633
31.01.2025 18:36:53;-0,3756259;1,32893;2,767412;-0,2397783;1,337155;2,330246
31.01.2025 18:36:55;-0,364355;1,32574;2,788291;-0,2323484;1,324964;2,323236
31.01.2025 18:36:56;-0,3629367;1,322626;2,788629;-0,2352933;1,327743;2,328895
31.01.2025 18:36:57;-0,3618374;1,320401;2,787989;-0,240399;1,331103;2,328512
31.01.2025 18:36:58;-0,3644926;1,32347;2,787585;-0,244325;1,336017;2,331405
31.01.2025 18:36:59;-0,3647787;1,324287;2,787784;-0,2461758;1,339112;2,332052
31.01.2025 18:37:00;-0,3572306;1,327069;2,801306;-0,2407607;1,331425;2,329983
31.01.2025 18:37:01;-0,3594857;1,33039;2,803998;-0,225399;1,319365;2,325106
31.01.2025 18:37:02;-0,3637937;1,333175;2,802948;-0,2199637;1,31198;2,320923
31.01.2025 18:37:03;-0,3707372;1,335551;2,800771;-0,2416322;1,336157;2,324151
31.01.2025 18:37:04;-0,617578;1,722509;2,884153;-0,234914;1,327912;2,33004
31.01.2025 18:37:05;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:37:06;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:37:07;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:37:08;-0,3506629;1,320301;2,815784;-0,695;1,791;2,536
31.01.2025 18:37:09;-0,3505382;1,324505;2,818894;-0,695;1,791;2,536
31.01.2025 18:37:10;-0,3518989;1,322807;2,816196;-0,695;1,791;2,536
31.01.2025 18:37:11;-0,3486698;1,309568;2,814656;-0,695;1,791;2,536
31.01.2025 18:37:12;-0,3531508;1,330801;2,813349;-0,205378;1,346576;2,313509
31.01.2025 18:37:13;-0,3523555;1,333516;2,81142;-0,1891328;1,305858;2,295937
31.01.2025 18:37:14;-0,3503159;1,3339;2,8218;-0,1837271;1,301467;2,295485
31.01.2025 18:37:15;-0,3473814;1,331676;2,820259;-0,1843172;1,320597;2,305559
31.01.2025 18:37:16;-0,3490546;1,331833;2,818661;-0,202885;1,359361;2,299997
31.01.2025 18:37:17;-0,3481685;1,322183;2,826845;-0,695;1,791;2,536
31.01.2025 18:37:18;-0,3490757;1,328257;2,822536;-0,695;1,791;2,536
31.01.2025 18:37:19;-0,346296;1,311146;2,817675;-0,2011126;1,303541;2,299955
31.01.2025 18:37:20;-0,3499471;1,328838;2,803406;-0,1986061;1,309965;2,297046
31.01.2025 18:37:21;-0,3453994;1,311471;2,811579;-0,2064056;1,318017;2,29874
31.01.2025 18:37:22;-0,3522258;1,333253;2,818725;-0,2011452;1,305346;2,29547
31.01.2025 18:37:23;-0,3502989;1,331007;2,814811;-0,2069986;1,312692;2,299214
31.01.2025 18:37:24;-0,3498595;1,322936;2,821473;-0,695;1,791;2,536
31.01.2025 18:37:25;-0,347552;1,318259;2,824262;-0,695;1,791;2,536
31.01.2025 18:37:26;-0,3519318;1,328596;2,821046;-0,695;1,791;2,536
31.01.2025 18:37:27;-0,351308;1,332018;2,818331;-0,2087477;1,335704;2,318294
31.01.2025 18:37:28;-0,3502621;1,328978;2,817709;-0,208876;1,323167;2,309859
31.01.2025 18:37:29;-0,3545495;1,340894;2,818779;-0,1940606;1,304111;2,309516
31.01.2025 18:37:30;-0,3526261;1,338695;2,818319;-0,2089609;1,322085;2,312978
31.01.2025 18:37:31;-0,3540793;1,340713;2,817103;-0,1999195;1,299426;2,304113
31.01.2025 18:37:33;-0,348241;1,326721;2,811561;-0,2020464;1,311883;2,310892
31.01.2025 18:37:34;-0,3512791;1,327385;2,813249;-0,1991898;1,309011;2,311434
31.01.2025 18:37:35;-0,3471236;1,313221;2,815054;-0,2143996;1,329517;2,310889
31.01.2025 18:37:36;-0,3379739;1,305686;2,82647;-0,206507;1,323301;2,310901
31.01.2025 18:37:37;-0,3452029;1,324545;2,819442;-0,1991354;1,307847;2,312151
31.01.2025 18:37:38;-0,3474096;1,326086;2,817517;-0,1986919;1,313753;2,314778
31.01.2025 18:37:39;-0,3433941;1,314153;2,820181;-0,2415486;1,549817;2,422165
31.01.2025 18:37:40;-0,3603291;1,358657;2,812196;-0,695;1,791;2,536
31.01.2025 18:37:41;-0,344027;1,316536;2,822623;-0,695;1,791;2,536
31.01.2025 18:37:42;-0,349832;1,327765;2,822969;-0,695;1,791;2,536
31.01.2025 18:37:43;-0,3475787;1,321722;2,825258;-0,695;1,791;2,536
31.01.2025 18:37:44;-0,3502053;1,322039;2,823692;-0,695;1,791;2,536
31.01.2025 18:37:45;-0,3474265;1,327776;2,818288;-0,1930969;1,331981;2,300515
31.01.2025 18:37:46;-0,3469698;1,326573;2,819592;-0,1779742;1,308223;2,288248
31.01.2025 18:37:47;-0,3473211;1,327432;2,818167;-0,1761037;1,304244;2,284332
31.01.2025 18:37:48;-0,3347568;1,3036;2,82831;-0,1791983;1,308223;2,289969
31.01.2025 18:37:49;-0,3460389;1,322866;2,819712;-0,1830581;1,31755;2,295306
31.01.2025 18:37:50;-0,3496304;1,332732;2,817116;-0,179817;1,311691;2,29067
31.01.2025 18:37:51;-0,347497;1,328631;2,818009;-0,1743208;1,309308;2,292778
31.01.2025 18:37:52;-0,3442433;1,319701;2,8201;-0,1867334;1,320119;2,294548
31.01.2025 18:37:53;-0,3450354;1,322426;2,819951;-0,1924533;1,329015;2,298094
31.01.2025 18:37:54;-0,3324457;1,305112;2,827959;-0,1854392;1,312397;2,293972
31.01.2025 18:37:55;-0,3463488;1,326641;2,82076;-0,695;1,791;2,536
31.01.2025 18:37:56;-0,3477259;1,32267;2,818655;-0,695;1,791;2,536
31.01.2025 18:37:57;-0,3477047;1,322677;2,822608;-0,695;1,791;2,536
31.01.2025 18:37:58;-0,5789893;1,653133;2,768959;-0,2057694;1,320701;2,319444
31.01.2025 18:37:59;-0,695;1,791;2,536;-0,2018531;1,322906;2,317346
31.01.2025 18:38:00;-0,695;1,791;2,536;-0,2009462;1,319541;2,313996
31.01.2025 18:38:01;-0,695;1,791;2,536;-0,2023571;1,321729;2,313329
31.01.2025 18:38:02;-0,695;1,791;2,536;-0,2001824;1,315643;2,309177
31.01.2025 18:38:03;-0,695;1,791;2,536;-0,2063635;1,32291;2,31032
31.01.2025 18:38:04;-0,695;1,791;2,536;-0,2062247;1,318847;2,308963
31.01.2025 18:38:05;-0,3318731;1,325123;2,814468;-0,1975115;1,314665;2,314035
31.01.2025 18:38:06;-0,3214884;1,390795;2,817521;-0,1943524;1,312571;2,312922
31.01.2025 18:38:07;-0,3277678;1,327944;2,816262;-0,2031772;1,317867;2,30901
31.01.2025 18:38:08;-0,3262924;1,322737;2,817621;-0,2065892;1,323838;2,315302
